Id;Designator;Package;Quantity;Designation;Supplier and ref;
1;R9,R20,R24;keyboard_parts:R_1608;3;15K;1608 5%;
2;R5,R10,R21,R25,R13,R26;keyboard_parts:R_1608;6;1K;1608 5%;
3;R4;keyboard_parts:R_1608;1;1k;1608 5%;
4;R27,R1,R30,R14,R12,R7,R6,R23,R16,R18,R15,R22,R17,R8;keyboard_parts:R_1608;14;10K;1608 5%;
5;R2,R3;keyboard_parts:R_1608;2;22;1608 5%;
6;R11;keyboard_parts:R_1608;1;"Rprog; 2K";1608 5%;
7;CN1;keyboard_parts:HHKB_JP_HRS_DF14_15P;1;JP;Hirose DF14A-15P-1.25H(25);http://www.mouser.jp/ProductDetail/Hirose-Connector/DF14A-15P-125H25/?qs=zOgoZG1CgI8d2bHK9S6CGQ%3D%3D
8;JP1,JP2,JP3;keyboard_parts:SOLDER_JUMPER_2;3;JUMPER;NONE;
9;C1,C16,C18;keyboard_parts:C_3216;3;4.7u;3216 X7R or X5R;
10;C9,C8,C13,C7,C3,C10;keyboard_parts:C_1608;6;0.1u;1608 any;
11;Q2,Q1,Q10,Q3;keyboard_parts:MOS_FET_SOT23-3_HSOL;4;Nch;ex. BSS138;
12;C14,C11;keyboard_parts:C_3216;2;1u;3216 X7R or X5R;
13;Q5,Q4;keyboard_parts:MOS_FET_SOT23-3_HSOL;2;Pch;ex. IRLML6402;
14;D2,D11,D5;keyboard_parts:D_SOD123;3;Schottky diode;20V 0.5A ex. PMEG2010ER, RB160M-30TR, MBR0520LT1;
15;P6;keyboard_parts:PIN_1;1;PD0;NONE;
16;U4;keyboard_parts:SOT23-5_HSOL;1;MCP73831;Microchip;
17;U3;keyboard_parts:SOT23-5_HSOL;1;NCP1402SN50;ON semi;
18;U2;keyboard_parts:SOT23-5_HSOL;1;MIC5504-3.3YMTR;Micrel;
19;P100;keyboard_parts:JST_PH2_SMT_TH;1;LIPO;3.7V 1000mA;https://www.sparkfun.com/products/339
20;C6,C5;keyboard_parts:C_1608;2;22p;1608 any;
21;C4;keyboard_parts:C_1608;1;1u;1608 10%;
22;U1;keyboard_parts:QFP44;1;ATMEGA32U4;Atmel ATmega32U4-AU TQFP44 ;
23;D9,D3;keyboard_parts:LED_3025_DUAL;2;LED_DUAL;3025 or 3225 ex. SEC2764C, LTST-C155GEKT;
24;CN2;keyboard_parts:HHKB_PRO2_ZH13;1;PRO2;JST S13B-ZR-SM4A-TF(LF)(SN)(P);http://www.digikey.jp/product-detail/ja/S13B-ZR-SM4A-TF(LF)(SN)(P)/455-1703-1-ND/926830
25;D1;keyboard_parts:LED_2012_HSOL;1;LED;3020 ex. SML-012WT;
26;J1;keyboard_parts:USB_miniB_hirose_new;1;USB_mini_micro_B;Hirose UX60SC-MB-5ST;
27;P5;keyboard_parts:PIN_1;1;PD1;NONE;
28;P7,P1;keyboard_parts:PIN_1;2;GND;NONE;
29;P8;keyboard_parts:AVR_ICSP_3x2;1;CONN_3X2;NONE;
30;P110,P111,P112,P113,P114,P115;keyboard_parts:PIN_1;6;CONN_1;NONE;
31;PPTC1;keyboard_parts:PPTC_nano;1;PPTC;Optional Polyswitch nano;
32;R19;keyboard_parts:R_1608_NOGUIDE;1;F.RST;1608 5% 10K;
33;SW1;keyboard_parts:SW_TACT_TH_HORIZ_LOW;1;SW_PUSH;Alps SKHH;
34;U5;keyboard_parts:RN42;1;RN42;Roving Networks RN42-I/RM615;
35;X1;keyboard_parts:HC-49_SMT;1;16MHz;HC-49 16MHz;
36;P4;keyboard_parts:PIN_1_SQUARE;1;VUSB;NONE;
37;P3;keyboard_parts:PIN_1;1;D-;NONE;
38;P2;keyboard_parts:PIN_1;1;D+;NONE;
39;SLP3-200-100-F,SLP3-200-100-F;keyboard_parts:SLP3-200-100-F;2;Val**;BIVAR SLP3-150-100-F/R light pipe;
40;SW2;keyboard_parts:SW_MINI_SLIDE;1;SW_DPDT;NKK SS22SDH2, SS22SDH4;
41;C12;keyboard_parts:C_3528;1;68u;3528 tantalum;
42;C15;keyboard_parts:C_3528;1;10u;3528 tantalum;
43;L1;keyboard_parts:L_6x6MM;1;47u;6mm or 7mm 47uH ex. NR6045T470M, CLF6045T-470M-CA;
44;D4,D10;keyboard_parts:LED_TH_BIVAR;2;LED;Through Hole 3mm LED (Not go together with D3 and D9);
